"stockid","stockid_ramldb","common_name","species","species_orig","order","family","family_common","type","type1","country","region","area","source","comments","method","ssb_units","r_units","landings_units","f_age_vpa","r_age_vpa","r_age_vpa1","feed_type","egg_type","egg_diam","length_at_hatch","length_at_metamorph","deltaL","deltaN","spawn_location","spawn_lat_dm","spawn_long_dm","spawn_month","natmort","f01","fmax","fmed","sprf0","source_mat","lmat","lmat_m","lmat_f","tmat","tmat_m","tmat_f","r_length","r_age","r_age_m","r_age_f","source_growth","linf_in","k","t0","linf_in_m","k_m","t0_m","linf_in_f","k_f","t0_f","source_lw_ab","lw_a","lw_b","lw_a_m","lw_b_m","lw_a_f","lw_b_f","ssb_nyr","r_nyr","sr_nyr"
"ASALBUS2",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Ireland","River Bush, Northern Ireland","Crozier, W.W. and G.J.A. Kennedy. 1995. The relationship between a summer fry (0+) abundance index, derived from semi-quantitative electrofishing, and egg deposition of Atlantic salmon, in the River Bush, Northern Ireland. Journal of Fish Biology 47:1055-1062.   Data tables provided by W.W. Crozier, Agriculture and Food Science Centre, Belfast.",NA,"Count","Millions of eggs","Number of smolts",NA,NA,"2+",2,NA,NA,NA,NA,NA,NA,NA,NA,"55 08","-6 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,17
"ASALCNR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Conne River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","data from table 7, page 35.","Count","Number of smolts","Number of small salmon",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"45 55","-55 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,8
"ASALCNR2",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Conne River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Counting fence","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45 55","-55 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0
"ASALCNR2LRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Conne River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Counting fence","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45 55","-55 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0
"ASALCONSMOLT",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Conne River, Nfld, CA","Dempson, J.B. and G. Furey. 1995. Stock status of Atlantic salmon from Conne River, SFA 11, Newfoundland.","taken from fig 5. page 30.","Counting fences","millions of eggs","thousands of smolt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 55","-54 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6
"ASALCONSMSA",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Conne River, Nfld, CA","Dempson, J.B. and G. Furey. 1995. Stock status of Atlantic salmon from Conne River, SFA 11, Newfoundland.","taken from fig 5. page 30.","Counting fences","thousands of smolt","thousands of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 55","-54 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8
"ASALELLI",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Iceland","Ellidaar River, Iceland","Mundy, P.R., M. Alexandersdottir, and G. Eiriksdottir. 1978. Spawner-recruit relationship in Ellidaar. Journal of Agricultural Research in Iceland. vol. 10:47-56.",NA,"Count","Numbers","Numbers",NA,NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"64 00","-22 00",NA,"2.5",NA,NA,NA,"1.089",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,37,37
"ASALEXRBF",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Exploits River, Bishop's Falls, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-55 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0
"ASALEXRBFLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Exploits River, Bishop's Falls, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-55 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0
"ASALEXRRBR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Exploits River, Gt. Rattling Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 05","-55 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0
"ASALEXRRBRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Exploits River, Gt. Rattling Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 132.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 05","-55 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0
"ASALGIR2",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Scotland","Girnock Burn, Scotland","Buck, R. J. G., and D. W. Hay. 1984. The relation between stock size and progeny of Atlantic  salmon, {\it Salmo salar} L., in a Scottish stream. J. Fish Biol. (1984) 23: 1-11 p.",NA,"Count","Thousands of eggs","Numbers of parr",NA,NA,"0+",0,NA,NA,NA,NA,NA,NA,NA,NA,"57 05","-2 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9
"ASALGIR3",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Scotland","Girnock Burn, Scotland","Buck, R. J. G., and D. W. Hay. 1984. The relation between stock size and progeny of Atlantic  salmon, {\it Salmo salar} L., in a Scottish stream. J. Fish Biol. (1984) 23: 1-11 p.",NA,"Count","Thousands of eggs","Numbers of parr and smolt",NA,NA,"1+",1,NA,NA,NA,NA,NA,NA,NA,NA,"57 05","-2 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,7
"ASALGIRN",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Scotland","Girnock Burn, Scotland","Buck, R. J. G., and D. W. Hay. 1984. The relation between stock size and progeny of Atlantic  salmon, {\it Salmo salar} L., in a Scottish stream. J. Fish Biol. (1984) 23: 1-11.",NA,"Count","Thousands of eggs","Number of Migrant parr",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"57 05","-2 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9
"ASALGRGR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Gander River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Counting fences","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 15","-54 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0
"ASALGRGRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Gander River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Counting fences","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 15","-54 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0
"ASALGRSBR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Salmon Brook, Gander River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-54 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0
"ASALGRSBRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Salmon Brook, Gander River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-54 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0
"ASALHLR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Highlands River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Counting fence","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 12","-58 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0
"ASALHLRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Highlands River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Counting fence","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 12","-58 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0
"ASALHUMR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Humber River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","mark-recapture","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 55","-57 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0
"ASALHUMRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Humber River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","mark-recapture","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 55","-57 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0
"ASALLAHAVE",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Morgan Falls, LaHave River, N.S. Canada","Amiro, P.E., E.M. Jefferson and C.J. Harvie. 1996. Status of Atlantic salmon in SFA 21, in 1995, with emphasis on the upper LaHave River, Lunenburg Co., Nova Scotia. DFO Atlantic Fisheries Research Document. 96/126.","taken from fig. 4, page 35.","Count","number","number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44 70","-65 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20
"ASALLCR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Little Codroy River, Canada","Chadwick, E. M. P. 1982. Stock-recruitment relationship for Atlantic salmon ({\it Salmo salar}) in Newfoundland rivers. Can. J. Fish. Aquat. Sci. 39: 1496-1501.",NA,"Count","Thousands of eggs","Number of Smolts",NA,NA,"2.5",2.5,NA,NA,NA,NA,NA,NA,NA,NA,"47 35","-59 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7
"ASALLOMR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Lomond River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 25","-57 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0
"ASALLOMRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Lomond River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 25","-57 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0
"ASALMAR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Margaree River, N.S., Canada","Chaput, G., and R. Jones. 1992. Stock-recruit relationship for multi-sea-winter salmon from the Margaree River, N.S. CAFSAC Res. Doc. 92/124: 17 p. , updated by Ross Claytor","original data from table 1, page 9., does not include all mortality at sea","Count","Number of fish","Number of fish",NA,NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"46 30","-61 00",NA,"2.5",NA,NA,NA,"1.089",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,38,38
"ASALMBR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Middle Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 48","-54 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0
"ASALMBRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Middle Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 48","-54 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0
"ASALMIR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Miramichi River, N. B., Canada","Chadwick, E. M. P., and R. G. Randall. 1986. A stock-recruitment relationship for Miramichi River. North American Journal of Fisheries Management 6: 200-203.",NA,"Count","Number angled large kelt","Number small parr per 100 m^2",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"46 58","-65 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13
"ASALNEBR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Northeast Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 7, page 35.","Count","Number of smolts","Number of small salmon",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"46 45","-53 25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,9
"ASALNEBR2",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Northeast Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Counting Fence","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46 45","-53 25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0
"ASALNEBR2LRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Northeast Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Counting Fence","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46 45","-53 25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0
"ASALNEPI",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Nepisiguit River, N.B., Canada","Locke, A. and F. Mowbray. 1995. Status of Atlantic Salmon in the Nepisiguit River, New Brunswick.  DFO Atlantic Fisheries Research Document. 96/129.","taken from table 14, page 32 and figure 10, page 42","Counting fences and electrofishing","Number of eggs (x10^6)","Number of fry / 100m2",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"47 50","-66 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,13
"ASALNER",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Northeast River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47 15","-53 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0
"ASALNERLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Northeast River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47 15","-53 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0
